documents,author
"﻿The Project Gutenberg eBook, Science and Medieval Thought, by Sir Thomas Clifford Allbutt This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever. You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org Title: Science and Medieval Thought The Harveian Oration Delivered Before the Royal College of Physicians, October 18, 1900 Author: Sir Thomas Clifford Allbutt Release Date: February 21, 2012 [eBook #38943] Language: English Character set encoding: UTF-8 ***START OF THE PROJECT GUTENBERG EBOOK SCIENCE AND MEDIEVAL THOUGHT*** E-text prepared by Irma Spehar, Turgut Dincer, and the Online Distributed Proofreading Team (http://www.pgdp.net) from page images generously made available by Internet Archive/American Libraries (http://www.archive.org/details/americana) Note: Images of the original pages are available through Internet Archive/American Libraries. See http://www.archive.org/details/sciencemedievalt00allbrich",Sir Thomas Clifford Allbutt
"SCIENCE AND MEDIEVAL THOUGHT. * * * * * London: C. J. CLAY AND SONS, CAMBRIDGE UNIVERSITY PRESS WAREHOUSE, AVE MARIA LANE. Glasgow: 50, WELLINGTON STREET. Leipzig: F. A. BROCKHAUS. New York: THE MACMILLAN COMPANY. Bombay: E. SEYMOUR HALE. * * * * * SCIENCE AND MEDIEVAL THOUGHT The Harveian Oration Delivered Before the Royal College of Physicians, October 18, 1900, by THOMAS CLIFFORD ALLBUTT, M.A., M.D. Cantab. Fellow of the College, Hon. Ll.D. Glasgow, Hon. M.D. Dubl., Hon. D.Sc. Vict., Hon. F.R.C.P. Dubl., F.R.S. Regius Professor of Physic in the University of Cambridge; Fellow of Gonville and Caius College, Cambridge; Consulting Physician to the Leeds General Infirmary; Physician to the Addenbrooke's Hospital, Cambridge. London C. J. Clay and Sons Cambridge University Press Warehouse Ave Maria Lane 1901 [All Rights reserved.] “Duo enim sunt modi cognoscendi, scilicet per argumentum et experimentum. Argumentum concludit,",Sir Thomas Clifford Allbutt
"et facit nos concludere quæstionem, sed non certificat, neque removet dubitationem, ut quiescat animus in intuitu veritatis, nisi eam inveniat via experientiæ.” ROGER BACON, _Op. Majus_, Venet. 1750, p. 336. TO SIR WILLIAM SELBY CHURCH, BART., M.D. PRESIDENT OF THE ROYAL COLLEGE OF PHYSICIANS OF LONDON, THIS ORATION, DELIVERED AT HIS REQUEST, IS DEDICATED. ERRATUM. p. 78, note 1, l. 19; _for_ “were in orders, for the most part in holy orders;” _read_ “were generally speaking in holy orders;” PREFACE. In the Middle Ages the old world had passed, and the vision of a new world came near to the eager and passionate hearts of many peoples. Lincoln and Wells, Amiens and Chartres, Florence and Assisi tell us of the glory of that vision; and bear witness of its flight: for with Gilbert, Galileo, Harvey and Newton the Middle Ages themselves became",Sir Thomas Clifford Allbutt
"a phantom, and again the spirit of a new world appeared. Thus in the phases of time the world dies and is born again; fulfilling greater destinies. But the new are born in the cold bed of the elder worlds, and the young life is chilled, or a lustier offspring turns unnaturally to curse the dead; so in their decrepitude lay the Middle Ages upon modern life; and the Middle Ages were accursed, until certain pious men sought to reanimate their vestments and their formulas, and to set the hands back on the dial of the centuries; as manyminded man seeks wistfully to reanimate the simple wonders and beliefs of his childhood. Their ministry was no more than pious; the method of modern history wins the fruits of the past while casting away the shadow of its withered branches. This comparative method,",Sir Thomas Clifford Allbutt
"first applied to the art and romance of the Middle Ages, so that every dilettante may now discourse to us of their evolution, has been applied also to the thought of the period; but its results, laid up in the closets of a few scholars, are as yet unfamiliar. It may then become one, who in no sense a scholar has strayed into these secret places, to try to distribute some lessons of the medieval thought which, to many of us, seems as sere and outworn as did the relics of Gothic shrines to our great-grandfathers. For, as in those medieval generations which lay nearest us the furnace had cooled, impatiently we had thrown metal and dross aside, and let our contempt for the dryness and pedantry of its latter days prevent our vision of the earlier time when the passion for knowledge",Sir Thomas Clifford Allbutt
"bore up the world, and sought even to contain it. That dogma is not eternal is manifest to every wanderer in the streets of Toledo, yet the historian may well recall us to the study of a time when, by mystical or intellectual inspirations, men strove eagerly to know the meaning of life, its origins, and its issues; and may lead us to the discovery of the seeds and wells of its fertility. The Greeks prophesied that before man can determine his place and service in this world he must form some theory of the world as a whole; the ages of faith prophesied that great deeds must be born of great faith and of great conceptions. To those who live only in the past, or only in the present, there seems in the discriminations of the comparative historian to be a",Sir Thomas Clifford Allbutt
"certain cold-bloodedness. Are not the ears of this critic, so aloof from the murmuring of creed and controversy, are they not deaf to the voices of the spirit which he would interpret to us? A distinguished bishop who was among my hearers, with the fervour and gentle humour so well known in him, rallied me not for celebrating science but for putting religion to rout. Yet in our own day surely the argument is changed, not in form only but in very nature; so changed by the conceptions of evolution, which have entered the mind of churchman and layman alike, that not a few speculative beliefs are changing sides without the knowledge of the disputants; and he who thinks himself a defender of the faith may have joined the revolt. But if we no longer carry the colours of the troops of the",Sir Thomas Clifford Allbutt
"past we shall collect our lessons from its strategies; and for one of these lessons a prelate of the King will give thanks with me, that his supremacy has palsied the arm of the inquisitor to strengthen that of the apostle. * * * * * An unsystematic reader of a subject finds it out of his power to make due acknowledgment of the help and advantage derived from expert authors. Much of the matter had seeded itself insensibly in his brain in the course of general reading and conversation; much of it again had been obtained more carefully from sources now forgotten. To the following authors I know I am profoundly indebted, as I am to many others to whose names and works I can now give no reference: Hauréau, La Philosophie Scolastique, Ed. 1872; Jowett, Dialogues of Plato (vol. III.",Sir Thomas Clifford Allbutt
"p. 523); Jourdain (Amable), Recherches critiques, Paris 1848; Jourdain (Charles), Excursions historiques, Paris 1888 (and the Philosophie de St Thomas of the same author); Ampère, Histoire litt. de la France avant le XIIme siècle; Brucker's Historia Critica Philosophiæ (English Ed., 1791); Renan, Averroès, Paris 1866; the Philosophie périp. apud Syros; and the Peuples Sémitiques dans l'histoire de la civilisation, of the same author; Roger Bacon, Westminster Review, 1864, two Articles (by Thomas Marshall, M.A. Oxon.); Schmidt, Essai sur les Mystiques du XIVme siècle; Benn, A. W., The Greek Philosophers, London 1882 (and many helpful essays in periodical literature); Zeller, Die Philosophie der Griechen, 1881; Krische, A. B., Theologische Lehre d. Griechischen Denker, Göttingen 1840; Ueberweg, Grundriss d. Gesch. d. Phil. des Alterthums, Berlin 1867; Gerlach und Traumüller, Gesch. d. physik. Experimentierkunst, Leipzig 1899; Rashdall's History of Universities; Haeser, Geschichte der Medicin, Jena",Sir Thomas Clifford Allbutt
"1875-82; Baas, J. H., Gesch. d. Medicin, Stuttgart 1876; _Idem_, Die geschichtliche Entwicklung des ärztlichen Standes, Berlin 1896; Charles Daremberg (all his works); Rousselot, Études sur la philosophie dans le Moyen Age, 1840; Pattison, Casaubon, 1875; Meunier, Francis, Essai sur la vie et les ouvrages de Nicole Oresme, Paris 1857. Descartes, Epist. Cartes. 4to. Amst., 1668; Plumpius, Fundamenta Med. Fol. Lovan., 1652; Sylvii Op. Omn., 1679, p. 875; Haller, Elem. Physiol., 1757, I. 3; Tiedemann, Physiologie de l'homme, Paris 1831, I. 41; Delle Chiaja, Instituzione di Anatom. e Fis. Comp., 1832, I. 13. (The six last works are cited as being especially useful, among many others, to show the extent to which modern physiology, from Harvey onwards, is based upon vivisection; and that it could not have arisen or thriven otherwise. It was by the test of many vivisections that Plumpius was led",Sir Thomas Clifford Allbutt
